service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20260108,20260708
11_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
11_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
15_平日(共通),1,1,1,1,1,0,0,20260108,20260708
15_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
15_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
16_平日(共通),1,1,1,1,1,0,0,20260108,20260708
16_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
16_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
17_平日(共通),1,1,1,1,1,0,0,20260108,20260708
17_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
17_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
21_平日(共通),1,1,1,1,1,0,0,20260108,20260708
21_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
21_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
24_平日(共通),1,1,1,1,1,0,0,20260108,20260708
24_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
24_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
31_平日(共通),1,1,1,1,1,0,0,20260108,20260708
31_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
31_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
33_平日(共通),1,1,1,1,1,0,0,20260108,20260708
33_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
33_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
35_平日(共通),1,1,1,1,1,0,0,20260108,20260708
35_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
35_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
37_平日(共通),1,1,1,1,1,0,0,20260108,20260708
37_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
37_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
41_平日(共通),1,1,1,1,1,0,0,20260108,20260708
41_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
41_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
51_平日(共通),1,1,1,1,1,0,0,20260108,20260708
51_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
51_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
61_平日(共通),1,1,1,1,1,0,0,20260108,20260708
61_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
61_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
90_平日(共通),1,1,1,1,1,0,0,20260108,20260708
90_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
90_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
98_平日(共通),1,1,1,1,1,0,0,20260108,20260708
98_土曜(共通),0,0,0,0,0,1,0,20260108,20260708
98_日祝(共通),0,0,0,0,0,0,1,20260108,20260708
